"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,14,3,0,0,0,0,0,0,0,0,1,1,0
87,13,11,3,4,0,0,1,0,0,0,1,0,0
83,9,6,14,5,3,2,1,0,0,0,0,0,0
58,10,3,3,55,7,3,4,0,0,0,0,1,0
46,0,2,8,9,33,11,13,0,0,1,2,0,0
31,3,4,3,17,2,63,17,0,0,0,0,0,0
42,0,0,2,14,17,8,60,0,0,0,0,0,0
5,0,0,0,0,1,0,9,102,0,21,1,0,0
2,0,0,0,0,1,0,0,12,114,0,6,0,0
0,0,0,0,2,0,0,2,3,0,114,6,0,0
0,0,0,0,0,0,0,0,1,0,5,109,0,0
0,0,0,0,0,0,0,0,0,0,0,50,71,0
3,0,0,0,0,0,0,0,0,0,0,0,0,8
