"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,7,8,2,4,0,0,1,0,0,0,0,0,0
76,1,22,8,5,3,1,3,0,0,0,0,1,0
74,0,7,15,4,15,6,2,0,0,0,0,0,0
49,0,1,4,46,8,23,7,0,0,3,1,2,0
30,0,0,1,2,51,13,22,0,0,1,0,5,0
29,0,0,0,7,3,77,18,0,0,4,0,2,0
30,0,0,0,1,13,10,66,5,0,16,1,1,0
4,0,0,0,0,0,0,0,116,2,13,4,0,0
4,0,0,0,0,0,0,1,1,128,0,1,0,0
2,0,0,0,0,0,0,0,0,0,116,9,0,0
0,0,0,0,0,0,0,0,0,0,0,112,3,0
0,0,0,0,0,0,0,0,0,0,0,0,121,0
2,0,0,0,0,0,0,0,0,0,0,0,0,9
