"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,10,7,2,4,1,0,0,0,0,0,0,0,0
81,9,13,3,10,2,2,0,0,0,0,0,0,0
77,2,7,6,13,6,12,0,0,0,0,0,0,0
49,3,4,2,60,3,14,3,0,0,4,0,2,0
39,1,1,3,7,40,18,13,1,0,1,0,1,0
29,0,0,2,22,8,64,12,0,0,1,0,2,0
36,0,0,1,5,16,17,54,5,0,7,0,2,0
6,0,0,0,0,0,0,0,111,0,14,8,0,0
6,0,0,0,0,0,0,0,1,127,0,0,1,0
3,0,0,0,0,0,0,0,3,0,103,18,0,0
0,0,0,0,0,0,0,0,0,0,0,115,0,0
0,0,0,0,0,0,0,0,0,0,0,0,121,0
2,0,0,0,0,0,0,0,0,0,0,0,0,9
