"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,2,2,1,3,0,0,0,0,0,0,0,0,0
87,4,8,2,7,3,9,0,0,0,0,0,0,0
77,3,2,3,14,9,14,0,0,0,0,0,0,1
69,2,1,1,25,1,41,0,0,0,2,2,0,0
37,1,1,1,9,20,49,3,0,0,0,0,4,0
22,0,0,0,7,5,103,0,0,0,2,0,1,0
40,0,0,0,3,21,68,3,1,0,6,1,0,0
13,0,0,0,0,0,0,0,85,2,38,1,0,0
2,0,0,0,0,0,0,0,6,126,0,0,1,0
26,0,0,0,0,0,0,0,0,0,101,0,0,0
6,0,0,0,0,0,0,0,0,0,10,99,0,0
2,0,0,0,0,0,0,0,0,0,0,8,111,0
3,0,0,0,0,0,0,0,0,0,0,0,0,8
