"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,10,1,1,5,0,0,1,0,0,0,0,0,0
80,10,10,5,13,1,0,1,0,0,0,0,0,0
77,3,4,19,14,3,3,0,0,0,0,0,0,0
50,0,3,3,68,1,9,9,0,0,1,0,0,0
42,0,0,7,10,38,15,10,0,0,0,1,2,0
32,1,0,1,15,2,76,8,0,0,4,0,1,0
42,1,1,1,8,9,18,51,0,0,9,2,1,0
5,0,0,0,0,0,0,2,103,0,23,6,0,0
4,0,0,0,0,0,0,0,5,124,0,2,0,0
0,0,0,0,0,0,0,1,1,0,110,15,0,0
0,0,0,0,0,0,0,1,0,0,0,114,0,0
0,0,0,0,0,0,0,0,0,0,0,2,119,0
3,0,0,0,0,0,0,0,0,0,0,0,0,8
