"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,5,9,0,5,0,2,0,0,0,0,1,0,0
81,2,14,6,10,2,5,0,0,0,0,0,0,0
72,2,1,17,13,7,10,1,0,0,0,0,0,0
52,0,1,5,39,6,38,1,0,0,0,2,0,0
34,0,0,2,7,60,22,0,0,0,0,0,0,0
25,1,0,0,8,11,95,0,0,0,0,0,0,0
28,0,0,0,12,33,50,17,0,0,2,1,0,0
5,0,0,0,0,4,3,3,85,0,39,0,0,0
3,0,0,0,0,0,0,0,22,110,0,0,0,0
2,0,0,0,1,0,9,0,0,0,115,0,0,0
1,0,0,0,0,0,0,0,0,0,23,91,0,0
1,0,0,0,0,0,0,0,0,0,0,79,41,0
2,0,0,0,0,0,0,0,0,6,0,0,0,3
