"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,11,5,2,3,0,0,0,0,0,0,0,0,0
80,8,11,9,7,1,3,1,0,0,0,0,0,0
73,0,3,21,4,5,11,5,1,0,0,0,0,0
54,2,1,4,34,4,30,12,0,0,3,0,0,0
37,0,1,3,1,33,19,25,0,0,1,1,4,0
26,0,0,1,6,5,68,28,1,0,5,0,0,0
35,0,0,0,1,5,13,71,7,0,10,0,1,0
1,0,0,0,0,0,0,1,117,2,12,6,0,0
6,0,0,0,0,0,0,0,0,128,0,1,0,0
1,0,0,0,0,0,0,0,7,0,105,14,0,0
0,0,0,0,0,0,0,0,0,0,0,113,2,0
0,0,0,0,0,0,0,0,0,0,0,0,121,0
1,0,0,0,0,0,0,0,0,0,0,0,0,10
