"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2,6,3,3,0,1,0,0,0,0,0,0,0
77,4,14,8,7,1,9,0,0,0,0,0,0,0
66,3,3,18,8,8,17,0,0,0,0,0,0,0
60,0,1,4,30,5,39,4,0,0,0,1,0,0
35,1,0,4,4,34,44,1,0,0,0,1,1,0
30,0,0,0,9,4,95,1,0,0,1,0,0,0
30,0,0,0,4,16,76,14,0,0,3,0,0,0
9,0,0,0,0,0,3,4,69,0,54,0,0,0
5,0,0,0,0,0,0,0,10,119,1,0,0,0
12,0,0,0,0,0,3,0,0,0,112,0,0,0
0,0,0,0,0,0,0,0,1,0,21,93,0,0
1,0,0,0,0,0,0,0,0,0,0,70,50,0
3,0,0,0,0,0,0,0,0,4,0,0,0,4
