"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,14,3,1,1,0,0,2,0,0,0,0,0,0
81,6,16,7,2,4,1,3,0,0,0,0,0,0
76,2,5,25,5,3,3,4,0,0,0,0,0,0
51,3,1,7,62,3,9,5,0,0,3,0,0,0
43,0,1,4,6,41,6,21,0,0,1,0,2,0
34,1,0,6,12,6,57,19,0,0,4,0,1,0
33,0,0,0,3,13,6,76,3,0,8,1,0,0
5,0,0,0,0,0,0,0,119,2,9,4,0,0
4,0,0,0,0,0,0,0,2,129,0,0,0,0
2,0,0,0,0,0,0,0,2,0,116,7,0,0
0,0,0,0,0,0,0,0,0,0,0,115,0,0
0,0,0,0,0,0,0,0,0,0,0,0,121,0
2,0,0,0,0,0,0,0,0,0,0,0,0,9
