"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2,13,1,4,0,0,0,0,0,0,0,0,0
77,1,24,5,6,2,5,0,0,0,0,0,0,0
70,1,10,18,9,3,11,1,0,0,0,0,0,0
56,0,9,6,43,0,30,0,0,0,0,0,0,0
36,0,1,11,9,35,27,6,0,0,0,0,0,0
31,0,1,1,10,7,88,1,0,0,0,1,0,0
26,0,0,0,8,18,64,24,0,0,2,1,0,0
7,0,0,0,0,0,1,10,82,0,39,0,0,0
4,0,0,0,0,0,0,0,12,118,0,1,0,0
4,0,0,0,0,0,6,2,1,0,113,1,0,0
0,0,0,0,0,0,0,0,0,0,13,102,0,0
0,0,0,0,0,0,0,0,0,0,0,86,35,0
3,0,0,0,0,0,0,0,0,0,0,0,0,8
