"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,38,0,0,0,1,0,0,0,0,0,0,0,0
80,0,39,0,1,0,0,0,0,0,0,0,0,0
76,0,0,42,0,0,0,0,0,0,0,0,5,0
47,0,0,0,97,0,0,0,0,0,0,0,0,0
37,0,0,0,0,86,0,0,0,0,0,0,2,0
27,0,0,0,0,0,113,0,0,0,0,0,0,0
28,0,0,0,0,0,1,113,0,0,0,0,1,0
6,0,0,0,0,0,0,0,133,0,0,0,0,0
14,0,0,0,0,0,0,0,1,120,0,0,0,0
4,0,0,0,0,0,0,0,0,0,123,0,0,0
0,0,0,0,0,0,0,0,0,0,0,115,0,0
0,0,0,0,0,0,0,0,0,0,0,0,121,0
3,0,0,0,0,0,0,0,0,0,0,0,0,8
