"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2,11,5,3,0,0,0,0,0,0,1,0,0
87,1,18,10,2,1,1,0,0,0,0,0,0,0
76,1,4,27,7,4,4,0,0,0,0,0,0,0
56,0,8,6,39,3,28,2,0,0,0,2,0,0
38,0,2,10,12,44,15,4,0,0,0,0,0,0
25,0,1,3,11,8,92,0,0,0,0,0,0,0
34,0,0,1,9,21,58,20,0,0,0,0,0,0
4,0,0,0,0,0,0,5,93,0,36,1,0,0
4,0,0,0,0,0,0,0,8,123,0,0,0,0
4,0,0,0,0,0,1,1,1,0,120,0,0,0
0,0,0,0,0,0,0,0,0,0,13,102,0,0
0,0,0,0,0,0,0,0,0,0,0,103,18,0
3,0,0,0,0,0,0,0,0,0,0,0,0,8
