"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1,5,5,5,1,1,0,0,0,0,0,0,0
80,1,9,15,4,4,7,0,0,0,0,0,0,0
69,0,3,25,5,7,11,2,0,0,0,0,1,0
58,0,0,5,23,6,49,2,0,0,0,1,0,0
36,0,0,2,5,36,37,8,0,0,0,0,1,0
22,0,0,0,5,5,106,2,0,0,0,0,0,0
28,0,0,0,5,19,68,21,0,0,2,0,0,0
5,0,0,0,0,0,1,5,95,1,31,1,0,0
4,0,0,0,0,0,0,0,2,129,0,0,0,0
7,0,0,0,1,0,4,0,2,0,113,0,0,0
1,0,0,0,0,0,0,0,1,0,11,102,0,0
1,0,0,0,0,0,0,0,0,0,0,31,89,0
2,0,0,0,0,0,0,0,0,4,0,0,0,5
