"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,1,5,2,1,0,1,1,0,0,0,0,0,0
82,2,13,13,1,4,5,0,0,0,0,0,0,0
76,0,4,25,3,1,12,2,0,0,0,0,0,0
62,0,9,9,18,2,38,5,0,0,1,0,0,0
41,0,1,15,1,27,30,6,0,0,0,2,2,0
34,0,1,2,5,1,94,3,0,0,0,0,0,0
32,0,0,1,4,11,61,28,2,0,3,1,0,0
12,0,0,0,0,0,1,0,97,0,28,1,0,0
4,0,0,0,0,0,0,0,1,129,0,1,0,0
25,0,0,0,0,0,0,0,2,0,99,1,0,0
1,0,0,0,0,0,0,0,0,0,4,110,0,0
1,0,0,0,0,0,0,0,0,0,0,58,62,0
6,0,0,0,0,0,0,0,0,5,0,0,0,0
