"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,10,6,4,7,1,0,0,0,0,0,0,0,0
75,3,18,7,9,3,4,1,0,0,0,0,0,0
70,0,5,29,4,6,8,0,0,0,0,0,1,0
53,0,4,6,44,5,16,10,0,0,4,1,1,0
32,0,0,3,2,51,8,23,1,0,1,0,4,0
26,0,0,1,12,5,72,18,0,0,4,1,1,0
33,0,0,0,1,9,11,73,2,1,10,1,2,0
3,0,0,0,0,0,0,0,115,1,19,1,0,0
7,0,0,0,0,0,0,0,2,125,0,0,1,0
1,0,0,0,0,0,0,0,2,0,115,8,1,0
0,0,0,0,0,0,0,0,0,0,0,114,1,0
0,0,0,0,0,0,0,0,0,0,0,0,121,0
3,0,0,0,0,0,0,0,0,0,0,0,0,8
