"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,13,7,5,0,0,0,0,0,0,0,0,0,0
79,4,13,12,7,1,4,0,0,0,0,0,0,0
68,0,3,13,11,8,17,2,1,0,0,0,0,0
44,1,1,12,51,8,14,5,1,0,5,0,2,0
32,1,0,5,3,53,13,13,1,0,1,1,2,0
26,0,0,2,22,9,55,18,0,0,7,0,1,0
34,0,0,1,3,30,10,43,9,0,13,0,0,0
3,0,0,0,0,0,0,0,116,2,5,13,0,0
4,0,0,0,0,0,0,0,0,130,0,1,0,0
1,0,0,0,0,0,0,0,8,0,106,12,0,0
0,0,0,0,0,0,0,0,0,0,0,114,1,0
0,0,0,0,0,0,0,0,0,0,0,1,120,0
1,0,0,0,0,0,0,0,0,0,0,0,0,10
