"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,3,2,4,3,0,4,0,0,0,0,0,0,0
80,3,15,10,2,2,8,0,0,0,0,0,0,0
72,0,3,16,3,11,17,1,0,0,0,0,0,0
72,0,8,5,14,7,34,3,0,0,1,0,0,0
33,0,1,10,4,35,38,1,0,0,0,0,3,0
29,0,0,1,7,7,92,3,0,0,1,0,0,0
29,0,0,0,0,22,64,16,4,0,7,0,1,0
8,0,0,0,0,0,1,0,97,2,31,0,0,0
3,0,0,0,0,0,0,0,2,129,1,0,0,0
30,0,0,0,0,0,1,0,0,0,96,0,0,0
4,0,0,0,0,0,0,0,0,0,15,96,0,0
1,0,0,0,0,0,0,0,0,0,0,21,99,0
3,0,0,0,0,0,0,0,0,0,0,0,0,8
