modality,MAE_mean,MAE_perc_10th,MAE_perc_90th,MSE_mean,MSE_perc_10th,MSE_perc_90th,PSNR_mean,PSNR_perc_10th,PSNR_perc_90th,SSIM_mean,SSIM_perc_10th,SSIM_perc_90th
faket,0.37389383,0.32301306128501894,0.4498110830783844,0.14846872473060507,0.11043939812749923,0.20885714876316497,8.396806715511348,6.801530047278598,9.568759756739396,0.24548866,0.1725965365767479,0.379467985033989
noisy,0.38269532,0.35105271041393277,0.41587055921554567,0.15394614422204175,0.13013990479067314,0.18029351168809102,8.157517005902317,7.440200001878072,8.855895909250508,0.18987128,0.16927094161510467,0.2106430336833
shrec,0.5294609,0.46863691210746766,0.608727753162384,0.2905412134989421,0.22699490353669355,0.37875291478648804,5.446699096612666,4.21644018012737,6.439838945861784,0.16504098,0.12762645184993743,0.2077059864997864
