"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,4,12,1,3,0,1,0,0,0,0,0,0,0
83,1,19,9,4,3,1,0,0,0,0,0,0,0
72,0,3,26,5,8,9,0,0,0,0,0,0,0
44,0,5,4,52,5,28,3,0,0,0,1,2,0
38,0,0,1,4,46,11,22,0,0,0,0,3,0
22,0,0,2,9,3,87,13,0,0,2,0,2,0
34,0,0,0,3,8,11,72,3,0,11,0,1,0
4,0,0,0,0,0,0,0,117,1,13,4,0,0
6,0,0,0,0,0,0,0,0,129,0,0,0,0
1,0,0,0,0,0,0,0,2,0,117,7,0,0
0,0,0,0,0,0,0,0,0,0,0,115,0,0
0,0,0,0,0,0,0,0,0,0,0,0,121,0
3,0,0,0,0,0,0,0,0,0,0,0,0,8
