"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,11,5,2,2,0,0,0,0,0,0,0,0,0
82,6,14,11,6,0,0,1,0,0,0,0,0,0
81,1,1,16,15,7,2,0,0,0,0,0,0,0
53,0,2,0,71,4,1,9,0,0,2,0,2,0
37,0,1,3,9,47,4,21,0,0,1,0,2,0
36,1,1,2,21,4,38,31,0,0,4,0,2,0
40,0,0,1,5,12,1,64,9,0,11,0,0,0
1,0,0,0,0,0,0,1,118,1,10,8,0,0
4,0,0,0,0,0,0,0,0,128,0,3,0,0
1,0,0,0,0,0,0,0,2,0,110,14,0,0
0,0,0,0,0,0,0,0,0,0,0,115,0,0
0,0,0,0,0,0,0,0,0,0,0,0,121,0
3,0,0,0,0,0,0,0,0,0,0,0,0,8
