"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,21,0,0,2,0,0,0,0,0,0,0,0,0
82,20,10,1,4,0,3,0,0,0,0,0,0,0
79,5,8,20,5,1,3,2,0,0,0,0,0,0
57,9,1,5,58,2,8,3,0,0,0,1,0,0
40,4,2,5,9,37,14,9,0,0,2,3,0,0
34,4,0,3,16,1,77,2,0,0,2,1,0,0
46,3,0,2,19,9,18,42,1,0,3,0,0,0
6,0,0,0,0,0,0,7,98,0,24,4,0,0
5,0,0,0,0,0,0,0,19,107,1,3,0,0
4,0,0,0,2,0,1,1,1,0,111,7,0,0
0,0,0,0,0,0,0,0,0,0,1,114,0,0
0,0,0,0,0,0,0,0,0,0,0,50,71,0
2,0,0,0,0,0,0,0,0,0,0,0,0,9
