"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,6,11,4,2,0,0,0,0,0,0,0,0,0
78,5,20,8,6,3,0,0,0,0,0,0,0,0
72,0,11,17,3,14,4,2,0,0,0,0,0,0
46,0,7,1,60,14,6,8,0,0,1,0,1,0
32,0,0,2,5,59,6,18,0,0,1,0,2,0
27,0,2,0,17,9,69,11,0,1,4,0,0,0
31,0,0,0,3,16,2,65,7,0,17,0,2,0
4,0,0,0,0,0,0,0,118,1,15,1,0,0
6,0,0,0,0,0,0,0,1,128,0,0,0,0
2,0,0,0,0,0,0,0,2,0,117,6,0,0
0,0,0,0,0,0,0,0,0,0,0,115,0,0
0,0,0,0,0,0,0,0,0,0,0,0,121,0
2,0,0,0,0,0,0,0,0,0,0,0,0,9
