"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,1,6,2,2,0,0,0,0,0,0,2,0,0
76,2,19,5,7,3,8,0,0,0,0,0,0,0
74,2,5,14,8,5,14,1,0,0,0,0,0,0
57,3,2,2,33,5,38,2,0,0,0,1,1,0
37,0,0,2,16,25,39,5,0,0,0,0,1,0
31,0,0,0,5,4,98,2,0,0,0,0,0,0
31,0,0,1,9,20,62,16,0,0,2,1,1,0
5,0,0,0,0,0,2,1,102,0,29,0,0,0
5,0,0,0,0,0,0,0,4,125,0,1,0,0
5,0,0,0,0,0,3,1,0,0,117,1,0,0
0,0,0,0,0,0,0,0,0,0,19,96,0,0
1,0,0,0,0,0,0,0,0,0,0,75,45,0
3,0,0,0,0,1,0,0,0,7,0,0,0,0
