"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,2,5,2,5,0,2,0,0,0,0,0,0,0
90,1,10,6,3,2,4,2,0,0,0,1,1,0
73,0,3,14,4,13,15,1,0,0,0,0,0,0
58,0,2,4,23,5,39,13,0,0,0,0,0,0
40,0,0,0,1,40,33,9,0,0,0,0,2,0
21,0,0,0,3,8,106,2,0,0,0,0,0,0
31,0,0,0,1,14,64,29,1,0,2,0,1,0
8,0,0,0,0,0,2,2,69,1,56,1,0,0
3,0,0,0,0,0,0,1,5,126,0,0,0,0
3,0,0,0,0,0,1,0,1,0,122,0,0,0
2,0,0,0,0,0,0,0,0,0,10,103,0,0
0,0,0,0,0,0,0,0,0,0,0,52,69,0
3,0,0,0,0,0,0,0,0,5,0,0,0,3
