"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,10,4,1,1,2,0,0,0,0,1,0,0
77,0,20,12,2,2,7,0,0,0,0,0,0,0
66,0,9,17,3,13,12,3,0,0,0,0,0,0
62,0,8,8,12,6,46,1,0,0,1,0,0,0
33,0,3,4,0,28,48,6,0,0,0,0,3,0
27,0,1,1,3,4,104,0,0,0,0,0,0,0
30,0,0,0,6,16,69,15,0,0,5,0,2,0
7,0,0,0,0,0,2,0,68,2,60,0,0,0
6,0,0,0,0,0,0,0,6,122,1,0,0,0
16,0,0,0,0,0,2,0,0,0,109,0,0,0
0,0,0,0,0,0,1,0,0,0,7,107,0,0
0,0,0,0,0,0,0,0,0,0,0,23,98,0
3,0,0,0,0,0,0,0,0,2,0,0,0,6
