"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,9,0,3,0,0,2,1,0,0,0,0,0,0
82,10,10,12,3,2,0,1,0,0,0,0,0,0
73,0,1,24,2,10,4,9,0,0,0,0,0,0
54,0,1,7,36,8,14,21,0,0,3,0,0,0
37,0,0,2,1,34,8,40,0,0,1,0,2,0
27,0,0,1,4,5,58,41,0,0,4,0,0,0
36,0,0,0,0,8,3,77,4,0,14,0,1,0
2,0,0,0,0,0,0,0,129,0,6,2,0,0
3,0,0,0,0,0,0,1,0,131,0,0,0,0
1,0,0,0,0,0,0,0,5,0,116,4,1,0
0,0,0,0,0,0,0,0,0,0,0,113,2,0
0,0,0,0,0,0,0,0,0,0,0,0,121,0
1,0,0,0,0,0,0,0,0,0,0,0,0,10
