"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,5,3,4,6,0,0,0,0,0,0,0,0,0
85,9,9,9,2,2,3,0,0,0,0,0,1,0
72,4,4,24,7,6,6,0,0,0,0,0,0,0
52,3,6,7,38,6,27,4,0,0,0,0,1,0
34,1,2,8,11,32,29,6,0,0,0,1,1,0
29,1,0,0,8,9,87,6,0,0,0,0,0,0
27,0,0,3,7,13,47,42,2,0,1,0,1,0
8,0,0,0,0,0,0,1,82,1,45,2,0,0
3,0,0,0,0,0,0,0,4,128,0,0,0,0
25,0,0,0,0,0,1,0,1,0,100,0,0,0
1,0,0,0,0,0,0,0,1,0,10,102,1,0
0,0,0,0,0,0,0,0,0,0,0,47,74,0
3,0,0,0,0,0,0,0,0,2,0,0,0,6
