"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,11,3,1,0,0,0,0,0,0,0,0,0,0
83,6,11,8,8,2,2,0,0,0,0,0,0,0
84,2,5,10,4,6,10,2,0,0,0,0,0,0
55,5,2,5,52,1,11,8,0,0,3,1,1,0
42,0,1,4,5,29,14,27,0,0,0,0,3,0
29,0,0,1,17,7,60,17,0,0,7,1,1,0
39,0,1,0,10,10,10,60,5,0,7,0,1,0
2,0,0,0,0,0,0,0,124,0,8,5,0,0
4,0,0,0,0,0,0,0,4,126,0,0,1,0
1,0,0,0,0,0,0,0,7,0,110,9,0,0
0,0,0,0,0,0,0,0,0,0,0,115,0,0
0,0,0,0,0,0,0,0,0,0,0,1,120,0
1,0,0,0,0,0,0,0,0,0,0,0,0,10
