"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,37,0,0,0,1,0,0,0,0,0,0,1,0
83,0,37,0,0,0,0,0,0,0,0,0,0,0
77,0,0,42,0,0,0,0,0,0,0,0,4,0
44,0,0,0,99,0,0,1,0,0,0,0,0,0
37,0,0,0,0,85,1,0,0,0,0,0,2,0
24,0,0,0,0,0,115,1,0,0,0,0,0,0
28,0,0,0,0,0,0,115,0,0,0,0,0,0
4,0,0,0,0,0,0,0,135,0,0,0,0,0
13,0,0,0,0,0,0,0,0,121,0,0,1,0
3,0,0,0,0,0,0,0,0,0,124,0,0,0
1,0,0,0,0,0,0,0,0,0,0,114,0,0
0,0,0,0,0,0,0,0,0,0,0,0,121,0
3,0,0,0,0,0,0,0,0,0,0,0,0,8
