"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,15,4,1,0,0,0,2,0,0,0,0,0,0
87,3,15,4,6,1,1,3,0,0,0,0,0,0
79,0,4,14,5,5,9,7,0,0,0,0,0,0
54,0,6,2,38,5,13,17,0,0,7,0,2,0
38,0,0,2,8,29,8,35,0,0,3,0,2,0
32,0,0,3,12,8,46,36,1,0,2,0,0,0
31,0,0,0,4,9,5,72,5,0,15,1,1,0
3,0,0,0,0,0,0,1,116,1,16,2,0,0
5,0,0,0,0,0,0,0,2,127,0,1,0,0
1,0,0,0,0,0,0,0,4,0,115,7,0,0
0,0,0,0,0,0,0,0,0,0,0,115,0,0
0,0,0,0,0,0,0,0,0,0,0,2,119,0
2,0,0,0,0,0,0,0,0,0,0,0,0,9
