"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,11,11,2,2,0,1,0,0,0,0,0,0,0
84,8,16,5,4,2,0,1,0,0,0,0,0,0
77,2,9,18,5,5,7,0,0,0,0,0,0,0
52,0,8,1,63,4,5,8,0,0,0,2,1,0
34,0,1,5,9,37,7,27,0,0,2,0,3,0
32,1,1,0,12,4,68,21,0,0,1,0,0,0
33,0,1,0,7,12,12,73,1,0,2,2,0,0
5,0,0,0,0,1,0,5,106,0,15,7,0,0
6,0,0,0,0,0,0,0,11,110,0,8,0,0
1,0,0,0,0,0,0,1,1,0,102,22,0,0
0,0,0,0,0,0,0,0,0,0,0,115,0,0
0,0,0,0,0,0,0,0,0,0,0,53,68,0
3,0,0,0,0,0,0,0,0,0,0,0,0,8
