"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,9,2,1,2,0,0,0,0,0,0,0,0,0
87,5,12,2,9,2,1,2,0,0,0,0,0,0
80,2,2,19,5,4,7,4,0,0,0,0,0,0
49,3,1,2,57,2,5,16,0,0,7,1,1,0
41,0,0,1,2,44,3,30,0,0,1,0,3,0
27,1,0,0,15,4,54,31,0,0,8,0,0,0
38,0,0,0,2,6,3,84,0,0,9,1,0,0
3,0,0,0,0,0,0,0,92,0,8,36,0,0
5,0,0,0,0,0,0,1,0,126,0,3,0,0
4,0,0,0,0,0,0,0,1,0,91,31,0,0
0,0,0,0,0,0,0,0,0,0,0,115,0,0
0,0,0,0,0,0,0,0,0,0,0,0,121,0
2,0,0,0,0,0,0,0,0,0,0,0,0,9
