"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,7,2,3,1,0,1,2,0,0,0,0,0,0
83,4,11,10,5,2,3,2,0,0,0,0,0,0
81,0,2,19,4,7,4,6,0,0,0,0,0,0
55,0,2,2,49,4,17,14,0,0,1,0,0,0
43,0,0,4,6,39,5,27,0,0,0,0,1,0
28,0,0,1,13,5,67,25,0,0,1,0,0,0
40,0,0,0,2,10,5,78,3,0,5,0,0,0
5,0,0,0,0,0,0,0,121,0,8,5,0,0
3,0,0,0,0,0,0,0,4,125,0,2,1,0
3,0,0,0,0,0,0,0,1,0,117,6,0,0
0,0,0,0,0,0,0,0,0,0,0,115,0,0
0,0,0,0,0,0,0,0,0,0,0,2,119,0
3,0,0,0,0,0,0,0,0,0,0,0,0,8
