"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,5,1,1,0,1,1,0,0,0,0,1,0
84,0,11,14,3,2,4,1,0,0,0,0,1,0
72,0,3,26,3,10,6,2,0,0,0,0,1,0
64,0,1,3,19,9,45,3,0,0,0,0,0,0
35,0,0,1,2,38,40,6,0,0,0,0,3,0
28,0,1,1,6,5,97,2,0,0,0,0,0,0
29,0,0,0,3,30,59,20,1,0,0,0,1,0
6,0,0,0,0,1,1,0,106,1,24,0,0,0
5,0,0,0,0,0,0,0,2,128,0,0,0,0
21,0,0,0,0,0,1,0,4,0,101,0,0,0
1,0,0,0,0,0,0,0,0,0,10,104,0,0
1,0,0,0,0,0,0,0,0,0,0,16,104,0
3,0,0,0,0,0,0,0,0,3,0,0,0,5
