"background","1S3X","3QM1","3GL1","3H84","2CG9","3D2F","1U6G","3CF3","1BXN","1QVR","4CR2","5MRC","fiducial"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,41,0,0,0,1,0,0,0,0,0,0,0,0
76,0,43,0,0,1,0,0,0,0,0,0,0,0
73,0,1,44,0,0,0,0,0,0,0,0,5,0
44,0,0,0,98,0,0,1,0,0,0,0,1,0
35,0,0,0,0,84,2,1,0,0,0,0,3,0
24,0,0,0,0,0,115,0,0,0,0,0,1,0
25,0,0,0,0,0,1,116,0,0,0,0,1,0
5,0,0,0,0,0,0,0,134,0,0,0,0,0
6,0,0,0,0,0,0,0,1,127,0,0,1,0
3,0,0,0,0,0,0,0,0,0,124,0,0,0
1,0,0,0,0,0,0,0,0,0,0,114,0,0
0,0,0,0,0,0,0,0,0,0,0,0,121,0
10,0,1,0,0,0,0,0,0,0,0,0,0,0
